date,quantity
2017-04-30,651
2017-05-07,676
2017-05-14,646
2017-05-21,721
2017-05-28,621
2017-06-04,640
2017-06-11,640
2017-06-18,596
2017-06-25,698
2017-07-02,719
2017-07-09,666
2017-07-16,633
2017-07-23,744
2017-07-30,664
2017-08-06,728
2017-08-13,664
2017-08-20,681
2017-08-27,681
2017-09-03,733
2017-09-10,675
2017-09-17,680
2017-09-24,673
2017-10-01,716
2017-10-08,696
2017-10-15,696
2017-10-22,733
2017-10-29,744
2017-11-05,743
2017-11-12,636
2017-11-19,669
2017-11-26,638
2017-12-03,649
2017-12-10,698
2017-12-17,650
2017-12-24,701
2017-12-31,463
